rank,num_iterations,lambda,training cv MSE, testing cv MSE
10,5,10.000000,15.656339,15.406608
10,5,1.000000,1.762528,1.979066
10,5,0.100000,0.290597,1.153737
10,5,0.010000,0.232448,2.408777
10,5,0.001000,0.264324,4.345780
10,10,10.000000,15.656339,15.406608
10,10,1.000000,1.761556,1.953521
10,10,0.100000,0.256241,1.079475
10,10,0.010000,0.169476,2.179503
10,10,0.001000,0.180610,3.786163
10,15,10.000000,15.656339,15.406608
10,15,1.000000,1.761651,1.951830
10,15,0.100000,0.245681,1.060007
10,15,0.010000,0.151398,2.161209
10,15,0.001000,0.158556,3.939105
10,20,10.000000,15.656339,15.406608
10,20,1.000000,1.761591,1.950897
10,20,0.100000,0.241307,1.051343
10,20,0.010000,0.140679,2.120423
10,20,0.001000,0.147154,3.936263
20,5,10.000000,15.656339,15.406608
20,5,1.000000,1.761956,1.978146
20,5,0.100000,0.198464,1.125515
20,5,0.010000,0.103489,3.158142
20,5,0.001000,0.122073,8.397166
20,10,10.000000,15.656339,15.406608
20,10,1.000000,1.761506,1.953182
20,10,0.100000,0.176152,1.034235
20,10,0.010000,0.066628,2.528060
20,10,0.001000,0.072093,6.045873
20,15,10.000000,15.656339,15.406608
20,15,1.000000,1.761590,1.951358
20,15,0.100000,0.170563,1.019472
20,15,0.010000,0.055203,2.320696
20,15,0.001000,0.058516,5.169220
20,20,10.000000,15.656339,15.406608
20,20,1.000000,1.761581,1.950811
20,20,0.100000,0.168120,1.016682
20,20,0.010000,0.050389,2.218803
20,20,0.001000,0.052499,4.870828
40,5,10.000000,15.656339,15.406608
40,5,1.000000,1.762471,1.976906
40,5,0.100000,0.155413,1.080784
40,5,0.010000,0.044175,3.230632
40,5,0.001000,0.040389,8.601737
40,10,10.000000,15.656339,15.406608
40,10,1.000000,1.761511,1.953193
40,10,0.100000,0.143606,0.999632
40,10,0.010000,0.035617,2.487869
40,10,0.001000,0.032589,6.466960
40,15,10.000000,15.656339,15.406608
40,15,1.000000,1.761583,1.951312
40,15,0.100000,0.140732,0.986105
40,15,0.010000,0.033578,2.205526
40,15,0.001000,0.030994,5.644948
40,20,10.000000,15.656339,15.406608
40,20,1.000000,1.761589,1.950854
40,20,0.100000,0.139546,0.982068
40,20,0.010000,0.032776,1.996873
40,20,0.001000,0.030442,5.075494
60,5,10.000000,15.656339,15.406608
60,5,1.000000,1.762300,1.975011
60,5,0.100000,0.144612,1.066097
60,5,0.010000,0.035272,3.097530
60,5,0.001000,0.031554,8.278465
60,10,10.000000,15.656339,15.406608
60,10,1.000000,1.761526,1.953272
60,10,0.100000,0.136177,0.989021
60,10,0.010000,0.032451,2.401882
60,10,0.001000,0.030131,6.415910
60,15,10.000000,15.656339,15.406608
60,15,1.000000,1.761596,1.951432
60,15,0.100000,0.134346,0.975310
60,15,0.010000,0.031824,2.103748
60,15,0.001000,0.029850,5.554409
60,20,10.000000,15.656339,15.406608
60,20,1.000000,1.761587,1.950840
60,20,0.100000,0.133678,0.972831
60,20,0.010000,0.031511,1.922433
60,20,0.001000,0.029737,4.911076
80,5,10.000000,15.656339,15.406608
80,5,1.000000,1.762221,1.976635
80,5,0.100000,0.140417,1.058367
80,5,0.010000,0.032790,3.038715
80,5,0.001000,0.030227,7.999224
80,10,10.000000,15.656339,15.406608
80,10,1.000000,1.761539,1.953355
80,10,0.100000,0.133780,0.983591
80,10,0.010000,0.031644,2.350848
80,10,0.001000,0.029775,6.291470
80,15,10.000000,15.656339,15.406608
80,15,1.000000,1.761579,1.951368
80,15,0.100000,0.132403,0.972763
80,15,0.010000,0.031321,2.064654
80,15,0.001000,0.029667,5.479760
80,20,10.000000,15.656339,15.406608
80,20,1.000000,1.761587,1.950833
80,20,0.100000,0.131981,0.970177
80,20,0.010000,0.031175,1.891236
80,20,0.001000,0.029619,4.902346

80,20,0.031600,0.041892,1.165842
80,20,0.316000,0.630201,1.034812

80,20,0.050000,0.058411,1.039780
80,20,0.150000,0.233541,0.962879


